2013 Congressional Districts,Zip Code,Zip Code Name,Zip Code Type,Zip Code Area Name,Percent of Population,Single Location Zip Code
03,95949,Grass Valley,Non Unique,Grass Valley,0.0,
03,95950,Grimes,Po Box,Grimes,100.0,
03,95951,Hamilton City,Po Box,Hamilton City,100.0,
03,95953,Live Oak,Non Unique,Live Oak,100.0,
03,95955,Maxwell,Po Box,Maxwell,100.0,
03,95957,Meridian,Non Unique,Meridian,100.0,
03,95959,Nevada City,Non Unique,Nevada City,0.0,
03,95960,North San Juan,Non Unique,North San Juan,16.7,
03,95961,Olivehurst,Non Unique,Olivehurst,100.0,
03,95962,Oregon House,Non Unique,Oregon House,100.0,
03,95963,Orland,Non Unique,Orland,93.0,
03,95965,Oroville,Non Unique,Oroville,0.0,
03,95966,Oroville,Non Unique,Oroville,0.6,
03,95970,Princeton,Non Unique,Princeton,63.3,
03,95973,Chico,Non Unique,Chico,0.0,
03,95977,Smartsville,Non Unique,Smartsville,39.6,
03,95979,Stonyford,Non Unique,Stonyford,100.0,
03,95981,Strawberry Valley,Non Unique,Strawberry Valley,80.7,
03,95982,Sutter,Non Unique,Sutter,100.0,
03,95987,Williams,Non Unique,Williams,100.0,
03,95988,Willows,Non Unique,Willows,93.9,
03,95991,Yuba City,Non Unique,Yuba City,100.0,
03,95992,Yuba City,Po Box,Yuba City,,*
03,95993,Yuba City,Non Unique,Yuba City,100.0,
03,96021,Corning,Non Unique,Corning,0.0,
03,96029,Flournoy,Non Unique,Flournoy,0.0,
